BveTs Station List 2.00:shift_jis,,,,,,,,,,,,
#stationKey,stationText,arrivalTime,departureTime,stoppageTime,defaultTime,signalFlag,alightingTime,passengers,arrivalSoundKey,depertureSoundKey,doorReopen,stuckInDoor
Sta-2,姫　　路,,20:37:35,40,20:36:30,1,0,0.42,,,0.2,0.04
Sta-1,英 賀 保,20:41:45,20:42:05,10,20:41:45,0,0,0.07,,,0.25,0.03
Sta0,はりま勝原,20:45:00,20:45:20,10,20:45:00,0,0,0.032,,,0.12,0.03
Sta1,網　　干,20:48:10,20:48:40,20,20:48:10,0,0,0.027,,,0.35,0.03
Sta2,竜　　野,20:53:30,20:53:50,15,20:53:30,0,0,0.022,,,0,0
Sta3,相　　生,20:57:50,20:58:20,20,20:57:50,0,0,0.017,,,0.35,0.03
Sta4,有　　年,21:04:15,21:04:35,15,21:04:15,0,0,0.012,,,0,0
Sta5,上　　郡,21:09:50,21:10:10,20,21:09:50,0,0,0.005,,,0.21,0
Sta6,三　　石,21:20:40,21:21:00,10,21:20:40,0,0,0.005,,,0,0
Sta7,,,,,,0,0,0,,,0,0
Sta8,,,,,,0,0,0,,,0,0
Sta9,,,,,,0,0,0,,,0,0
Sta10,,,,,,0,0,0,,,0,0
Sta11,,,,,,0,0,0,,,0,0
Sta12,,,,,,0,0,0,,,0,0
Sta13,,,,,,0,0,0,,,0,0
Sta14,,,,,,0,0,0,,,0,0
Sta15,,,,,,0,0,0,,,0,0
Sta16,,,,,,0,0,0,,,0,0
Sta17,,,,,,0,0,0,,,0,0
Sta18,運転終了!,,8:00:00,100,9:00:00,0,0,0,,,0,0
Sta19,”シナリオを閉じる”を選択してください。,,,,,0,0,0,,,0,0
