BveTs Station List 2.00:UTF-8,,,,,,,,,,,,
#stationKey,stationText,arrivalTime,depertureTime,stoppageTime,defaultTime,signalFlag,alightingTime,passengers,arrivalSoundKey,depertureSoundKey,doorReopen,stuckInDoor
Sta-2,姫　　路,1:44:00,1:46:00,90,1:44:00,1,0,0,,,0,0
Sta-1,英 賀 保,p,1:51:00,,,0,0,0,,,0,0
Sta0,はりま勝原,p,,,,0,0,0,,,0,0
Sta1,網　　干,p,1:55:30,,,0,0,0,,,0,0
Sta2,竜　　野,p,,,,0,0,0,,,0,0
Sta3,相　　生,p,2:03:15,,,0,0,0,,,0,0
Sta4,有　　年,p,2:08:30,,,0,0,0,,,0,0
Sta5,上　　郡,2:15:30,3:51:00,500,3:49:30,1,0,0,,,0,0
Sta6,三　　石,p,,,,0,0,0,,,0,0
Sta7,,,,,,0,0,0,,,0,0
Sta8,,,,,,0,0,0,,,0,0
Sta9,,,,,,0,0,0,,,0,0
Sta10,,,,,,0,0,0,,,0,0
Sta11,,,,,,0,0,0,,,0,0
Sta12,,,,,,0,0,0,,,0,0
Sta13,,,,,,0,0,0,,,0,0
Sta14,,,,,,0,0,0,,,0,0
Sta15,,,,,,0,0,0,,,0,0
Sta16,,,,,,0,0,0,,,0,0
Sta17,,,,,,0,0,0,,,0,0
